,vehID,dsID,time,real_x,real_y,laneID,Speed,lateral_move,long_move,nbr_0,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7,nbr_8,nbr_9,nbr_10,nbr_11,nbr_12,nbr_13,nbr_14,nbr_15,nbr_16,nbr_17,nbr_18,nbr_19,nbr_20,nbr_21,nbr_22,nbr_23,nbr_24,nbr_25,nbr_26,nbr_27,nbr_28,nbr_29,nbr_30,nbr_31,nbr_32,nbr_33,nbr_34,nbr_35,nbr_36,nbr_37,nbr_38
0,2858,5,8087,42.282,63.791,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
1,2858,5,8088,42.311,64.113,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
2,2858,5,8089,42.341,64.434,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
3,2858,5,8090,42.37,64.756,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
4,2858,5,8091,42.399,65.077,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
5,2858,5,8092,42.428,65.398,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
6,2858,5,8093,42.458,65.719,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
7,2858,5,8094,42.487,66.035,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
8,2858,5,8095,42.517,66.362,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
9,2858,5,8096,42.546,66.715,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
10,2858,5,8097,42.576,67.078,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
11,2858,5,8098,42.604,67.431,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,0,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
12,2858,5,8099,42.632,67.758,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
13,2858,5,8100,42.661,68.073,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
14,2858,5,8101,42.69,68.394,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
15,2858,5,8102,42.718,68.716,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
16,2858,5,8103,42.747,69.037,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
17,2858,5,8104,42.776,69.359,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
18,2858,5,8105,42.804,69.68,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
19,2858,5,8106,42.833,70.002,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
20,2858,5,8107,42.861,70.323,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
21,2858,5,8108,42.89,70.645,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,2837,2829,0,2816,0,0,0,0,0,0,0,2808,0,2807,0,2793,0
